acm_code,acm_type,acm_type_name,acm_name,bsns_code,acm_tel,acm_addr,acm_reg_dt,acm_status,acm_reg_site
1,MOT,모텔,아바니호텔(A+VANI HOTEL&PLAY),719-11-02689,02)312-5141,서울특별시 서대문구 연세로2길 50 (창천동),2024-08-01,1,0
2,HOT,호텔,스위스그랜드호텔,552-85-01676,02)321-6565,서울특별시 서대문구 연희로 353 (홍은동),2024-08-01,1,0
3,MOT,모텔,길동 MARI-마리,351-05-00126,02)483-0942,서울특별시 강동구 길동 387-7,2024-08-01,1,0
4,MOT,모텔,창동 론스타,217-05-49455,02)992-6969,서울특별시 도봉구 창동 14-1,2024-08-01,1,0
5,MOT,모텔,은평 씨에스에비뉴 호텔,343-04-02223,02)350-6900,서울특별시 은평구 응암동 30-2,2024-08-01,1,0
6,MOT,모텔,월곶 크루즈,460-64-00053,031)404-6060,경기도 시흥시 월곶동 1003-7,2024-08-01,1,0
7,MOT,모텔,동암 3&4호텔,379-66-00426,032)424-0622,인천광역시 부평구 십정동 402-49,2024-08-01,1,0
8,HOT,호텔/5성급,세인트존스 호텔,566-81-00381,033)660-9000,강원특별자치도 강릉시 강문동 1-1,2024-08-01,1,0
9,HOT,호텔/특급,힐튼 경주,505-85-02887,054)745-7788,경상북도 경주시 신평동 370,2024-08-01,1,0
10,HOT,호텔/레지던스,어반스테이 속초등대해변,152-86-00358,1644-7694,강원특별자치도 속초시 영랑동 148-45,2024-08-01,1,0
11,HOT,호텔/특1급,여수 라마다 프라자 호텔,282-86-01551,061)642-0000,전라남도 여수시 돌산읍 우두리 1048-4,2024-08-01,1,0
12,HOT,호텔/3성급,호텔 아쿠아펠리스,617-85-39799,051)790-2300,부산광역시 수영구 광안동 192-5,2024-08-01,1,0
13,HOT,호텔/3성급,신라스테이 동탄,203-81-43363,031)8036-9000,경기도 화성시 반송동 92-6,2024-08-01,1,0
14,HOT,호텔/레지던스,뉴시즈 오시리아 레지던스,896-81-03047,051)722-0015,부산광역시 기장군 기장읍 시랑리 736,2024-08-01,1,0
15,PEN,펜션,태안 말리스파펜션,417-19-93937,041)675-3877,충청남도 태안군 소원면 의항리 1192,2024-08-01,1,0
16,PEN,펜션/풀빌라,여수 웨스트힐스 프라이빗 풀빌라,672-14-00705,061)655-5555,전라남도 여수시 돌산읍 평사리 1403-5,2024-08-01,1,0
17,PEN,펜션,영덕 비프리비 펜션,142-81-38570,054)734-9977,경상북도 영덕군 병곡면 백석리 340-1,2024-08-01,1,0
18,PEN,펜션,가평 아쿠아비타 스파&수영장펜션,332-87-00460,1544-3812,경기도 가평군 설악면 사룡리 9-37,2024-08-01,1,0
19,PEN,펜션,경주 늘시원 오션뷰 펜션,367-88-00819,054)744-1177,경상북도 경주시 감포읍 감포리 544-2,2024-08-01,1,0
20,HOT,호텔/5성급,인스파이어 엔터테인먼트 리조트,496-86-00049,032)580-9000,인천광역시 중구 운서동 2955-74,2024-08-01,1,0
21,HOT,호텔/5성급,신화관 제주신화월드 호텔앤리조트,616-86-09829,064)908-3324,제주특별자치도 서귀포시 안덕면 서광리 24,2024-08-01,1,0
22,GTH,게스트하우스,전주 소소한 한옥,293-17-01803,0502-4022-8335,전북특별자치도 전주시 완산구 풍남동2가 11-2,2024-08-01,1,0
23,GTH,게스트하우스,24게스트하우스 잠실점,440-34-00237,0504-4013-2377,서울특별시 송파구 삼전동 47,2024-08-01,1,0
24,GTH,게스트하우스,제주 풍경,215-09-84599,0504-4010-6464,제주특별자치도 서귀포시 서홍동 586 풍경호텔,2024-08-01,1,0
25,GTH,게스트하우스,경주 봉황맨션,652-85-01146,0502-1378-0621,경상북도 경주시 노동동 54-2,2024-08-01,1,0
26,GTH,게스트하우스,강릉 게스트하우스 중앙점,226-12-13212,0504-4894-4860,강원특별자치도 강릉시 임당동 94-1,2024-08-01,1,0
27,GTH,게스트하우스,대전 하늘정원 게스트하우스,826-44-00181,0504-4058-2161,대전광역시 중구 대흥동 447-11,2024-08-01,1,0
28,VIL,홈/빌라,춘천 벨라시티 B타입,161-86-02501,0504-4008-8060,강원특별자치도 춘천시 조양동 74-1,2024-08-01,1,0
29,VIL,홈/빌라,안심여관,285-01-03191,0504-4016-4746,제주특별자치도 제주시 애월읍 하가리 1468,2024-08-01,1,0
30,VIL,홈/빌라,광안리 오션라이프,405-03-95606,0504-4038-3543,부산광역시 수영구 광안동 201-8,2024-08-01,1,0
